,id,user_retweet_count,user_favirite_count,tweet_text,tweet_user_location,tweet_created_date
0,1646341822984093696,1,3,"SMART TECHNOLOGY: Digital Rights and Inclusion Forum kicks off in Nairobi, Kenya https://t.co/DW504EglqU via @SmartCompanyAf1 

@ParadigmHQ https://t.co/n5qVbqhcQ2",Africa ,2023-04-13 02:37:32
1,1646240780464291842,0,1,"World Bank approves funding for digital transformation in Kenya and Senegal https://t.co/lHt659Xp62
#DigitalTransformation #CustomerService #EnterpriseTechnology #BusinessApplication #Tech #Technology #Digital #DigitalIQ #CustomerExperience #UserExperience #UX https://t.co/m6TDGe8IXA",México,2023-04-12 19:56:02
2,1646187338148749312,0,0,Central bank reinforces digital transformation strategy with visit to ... - Namibia Economist https://t.co/I3KEhRJ3Sj,Windhoek,2023-04-12 16:23:40
3,1646169867433934848,0,0,BredecDigitalDriven Central bank reinforces digital transformation strategy with visit to ... - Namibia Economist https://t.co/GNEbrLrGOH inquiry@bredec.com,"Zwitserland, Baden",2023-04-12 15:14:15
4,1646161761811197953,0,0,Central bank reinforces digital transformation strategy with visit to Kenya https://t.co/tpuPYDVMj9,Windhoek,2023-04-12 14:42:02
5,1646064414976790529,1,0,"Two digital lenders in Kenya in trouble over data abuse, Ghana’s Queue? https://t.co/L5mbfjMdZO #Technology #dataabuse #Digitallenders #Ghana #Kenya https://t.co/PiELHUoPBk","Accra, Ghana",2023-04-12 08:15:13
6,1645834138157477888,1,0,"Equity Group, leading the #digitaltransformation of Kenya’s #banking industry

https://t.co/PcnrshKUnL

#Insurtech #Finance #Finsevr #AI #EdTech #GovTech
#Investing #Banking #LUNC #Blockchain #Technology",Hamburg,2023-04-11 17:00:11
7,1645781268955639809,2,1,"#WorldBank approves funding for #digitaltransformation in #Kenya and #Senegal

https://t.co/8w9HwUzW94

#Insurtech #Finance #Finsevr #AI #EdTech #GovTech
#Investing #Banking #LUNC #Blockchain #Technology",Hamburg,2023-04-11 13:30:06
8,1645645454284054534,0,0,Social Media Marketing Update of the Day: Janet Machuka: Meet Kenya's Digital Marketing Queen Helping Businesses Succeed on Social Media - https://t.co/PsjYZL3YfK - https://t.co/PsjYZL3YfK  https://t.co/wkTjSyCVcB,"Nantwich, Cheshire, UK",2023-04-11 04:30:25
9,1645490462801940480,0,0,Janet Machuka: Meet Kenya's Digital Marketing Queen Helping Businesses Succeed on Social Media - https://t.co/9yjeHe5PJ0 - https://t.co/9yjeHe5PJ0 https://t.co/LebGouPDip #blogging #podcasting #saas,"540 Madison Avenue, NY, NY",2023-04-10 18:14:32
10,1645488704105095168,1,0,Janet Machuka: Meet Kenya's Digital Marketing Queen Helping ... - https://t.co/228R0yt4rQ https://t.co/myoSTw6Jqe,United Kingdom,2023-04-10 18:07:33
11,1645110293729517568,0,0,Digital Technology Lead Job in Kenya https://t.co/9gLzsqd2IH,Nairobi,2023-04-09 17:03:53
